th	5532	 	th	1.52
he	4657	 	he	1.28
in	3429	 	in	0.94
er	3420	 	er	0.94
an	3005	 	an	0.82
re	2465	 	re	0.68
nd	2281	 	nd	0.63
at	2155	 	at	0.59
on	2086	 	on	0.57
nt	2058	 	nt	0.56
ha	2040	 	ha	0.56
es	2033	 	es	0.56
st	2009	 	st	0.55
en	2005	 	en	0.55
ed	1942	 	ed	0.53
to	1904	 	to	0.52
it	1822	 	it	0.50
ou	1820	 	ou	0.50
ea	1720	 	ea	0.47
hi	1690	 	hi	0.46
is	1660	 	is	0.46
or	1556	 	or	0.43
ti	1231	 	ti	0.34
as	1211	 	as	0.33
te	985	 	te	0.27
et	704	 	et	0.19
ng	668	 	ng	0.18
of	569	 	of	0.16
al	341	 	al	0.09
de	332	 	de	0.09
se	300	 	se	0.08
le	298	 	le	0.08
sa	215	 	sa	0.06
si	186	 	si	0.05
ar	157	 	ar	0.04
ve	148	 	ve	0.04
ra	137	 	ra	0.04
ld	64	 	ld	0.02
ur	60	 	ur	0.02
